"text","is_toxic"
"@user  O cara vive em outro mundo Não no mundo real REFUGIADOS são os que vivem Nas favelas vizinhas as suas fortalezas",True
"@user Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.",False
"@user  Os 'cumpanhero' quebraram todas as regras.",False
"@user é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos",False
"@user bom dia macaco branco haha",True
"@user imagino...  ow mandei fazer um body opressor pra Duda! hahahaha",False
"@user parabéns brou! Menina é bom demais!",False
"@user PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM.",False
"@user Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",False
"@user E o sono... rs. Cheiros. Tb adorei!",False
"@user Oww, linda.. trabalho amanhã =/ dó",False
"@user que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",False
"@user SOu nada, faço o básico hahaha",False
"@user Taí, sou ótima com sobremesas, doces, bolos...",False
"@user Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",False
"@user OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",False
"@user cedemos ao encanto e caímos de boca meu caro!",False
"@user Perfume pra mão jovem amante.....pra mão. Cappice?",True
"@user 'Estimo que se foda' será mais profissional.",True
"@user bom dia sapatao da minha vida",True
"@user falei isso desde ontem ..kkkk <url>",False
"@user @user isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem",True
"@user @user e que tal uma linha de bonés??  <url>",False
"[9/3 09:11] jhu : Bom viado mais lindo [9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza",True
"[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE",False
"[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro <url>",True
"[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. <url>",False
"[FUTEBOL] Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo <url>",False
"18:40] Max: Vai tomar no teu cu então 18:40] Max: Sua gorda feia 18:40] Max  :Meu amor por você 18:41] Leticia: Eu sou gorda Maxwell?",True
