"text","is_toxic"
"<RT> @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",True
"eu to chorando vei vsf e eu nem staneio izone nem nada <url>",True
"<RT> @user vai responder as outras 75 conversas e para de cobrar atenção caralho <url>",True
"tem um do jack com a msm música e agr não sei qual flodar  grande dia 👍",False
"mais é ruim pra pedir desafio  esse técnico do  azerbaijão",True
"frio do caralho, parece até q to dentro do teu coração",True
"@user onde mexe fede! #forastf  #stfvergonhanacional  #forasuspeitotribunalfederal #nasruascontrastf",True
"meu filho vem primeiro, ele é minha prioridade!",False
"hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.",False
"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.  Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!  #DireitaCensurada <url>",False
"@user não se ele tiver encomendado o ""serviço""",False
"@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝",True
"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",True
"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",True
"@user os hormonios pulando...",True
"hoje é caso dormir cedo tipo um preso",True
"e nessa loucuraaaaaa de dizer que não te querooooooooo",False
"bixetes vem logo por favor",True
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo.  Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",True
"<RT> @user hora de colocar os fatos na mesa <url>",False
"1h30 para sair de casa e estou deitada no sofá como se nada fosse",False
"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",False
"<RT> @user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",False
"respeitem só faxavor!",False
"@user @user Contra fatos não há argumentos, Jair.  É assim que você está ficando conhecido na Europa.    <url>",False
"@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas",False
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",False
"homens feios porem bonitos??¿",False
"passando calor aqui na loja",False
"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças.  Cabe BO,  segundo o estatuto do ECA.  É covardia, que chama?",True
"@user tao linda parece eu",False
"@user @user @user @user e o queiroz ninguém acha??!!🤔🤔",False
"eu amo um homem",False
"<RT> @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️",False
"📺VÍDEO NOVO, TURMA!  FOTO DE BOA LACRADOR NÃO PERDOA  <url>  ✔Entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar!  (E compartilha pra tentar reverter o dano que causaram)",True
"fazendo amor botando pra moer so eu y voce",True
"<RT> @user eu ri, mas eu quero kkk <url>",False
"1 mês certinho para 18 anos",False
"@user incrivel como essa foto só fica melhor a cada vez que eu vejo",False
"@user Precisamos ficar atentos. Os métodos utilizados pela Lava Jato ñ foram nada ortodoxos. Houve claramente um pacto de mediocridade entre as instituições brasileiras. Realmente, é preciso estar atento e JAMAIS esmorecer. Muito obrigada pelo seu trabalho Demori 👊🏼",False
"@user @user uma jóia de nióbio que n vale quase nada",False
"nossa velho 2019 e vcs nessa ainda pqp",True
"@user aí levizinho cidade perfeita e pretendo voltar logo maisssss",False
"é foda",True
"8 coisas que os homens fazem apenas com a mulher que amam <url>",False
"@user quando começar os temporais eu vou viver na tua casa vlh",False
"@user parabéns tá muito ruim <url>",True
"posso chamar então? — pode sim <url>",False
"De vez em quando a escola é um lugar bom, só o professor de matemática torceu o nariz, de resto fui bem recebida por todo mundo, todos fazendo questão de ajudar. Filho custa caro, gentes ❤️",False
"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto",False
"mano, meu tio me ligou agr e quase tive um ataque kkkkkkkkkkk pensei que tinha feito merda",True
"@user @user Parece que o cara mora no suvaco do @user e saiu rapidinho só pra manda a galera toma no cu e já vai voltar pra dentro de casa.",True
"<RT> @user muita cautela pra saber quem tá contigo, nem toda mão estendida é de coração",False
"se não sente falta das meninas não? — mn não sei, acho que foi melhor assim se for pra volta o tempo vai resolver. <url>",False
"<RT> @user boa noite pra quem tem os dois melhores laterais do futebol brasileiro. <url>",False
"preciso de outra companhia pra ir pra academia pq o matheus é a mesma coisa que nada",True
"<RT> @user @user olha quem fala",True
"as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute",False
"@user pelo que havia entendido, a conta fazia a somatória dos dois (tv paga e tv aberta).",False
"@user foda o ser humano e sua síndrome de seguir as coisas só por seguir ao invés de fazer uma reflexão real sobre elas mundão tá osso",True
"amigos de bh, alguém pelamorde deus me chama prum rolê hoje?!?! tô querendo beber, dançar e curtir um bocado a noite hoje, minhajudem!",False
"ate segui o meu mo babados do matriz p n perder nada",False
"tô vendo que vou chorar igual uma criancinha #descendants3",False
"puts só queria estar no barão agora",False
"os cria vai piar aq em casa p ver vingadores 🤩",False
"@user salgado. se tirar o sal, fica você.",True
"<RT> @user bem.... ainda faltam 2 anos pra acabar, há esperança <url>",False
"eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder",True
"aliás 15h e ainda sem almoçar",False
"@user e vamos resolver de certeza",False
"<RT> @user estudar pra ganhar na vida como a anitta  <url>",False
"@user dourados kkkkk",False
"@user pq a boca foi feita pra falar .#stfvergonhanacional",True
"Nomes dos suspeitos de invadir celular do ministro Sérgio Moro serão divulgados amanhã, ao meio-dia. Os quatro presos (3 homens e 1 mulher) em SP estão sendo levados para Brasília onde prestarão depoimento ainda hoje. Mais aqui:  <url>",False
