"text","is_toxic"
"@user @user @user quanto vc pagava na época da, como vc diz, ""canetada eleitoreira"" do mito? quanto vai pagar agora com a política do nove dedos?",True
"@user os árabes já vão lhes chutar do país ??",True
"@user @user @user @user @user tem que desenhar e explicar o desenho pro retardado pq a pica do bolsonaro na frente dele não deixa ele ver",True
"@user @user chola mais gado. e se não quiser pagar mais barato na gasolina, pode fingir que tá no governo bolsonaro e pagar 10 pila no litro ???? otária",True
"michele micheque nao tinha cartao do bolsonaro pq bolsonaro era pão duro! mas bolsonaro pagava os gastos da micheque no cartao da amiga! é isso mesmo? eles acham mesmo que todo mundo é burro como os seguidores deles?",True
"passaram mais de 4 anos sofrendo as idiotice de bolsonaro é agora tudo que acontece é culpa do lula kkkkkkkkkkkkkkk vai se fuder seus debi loides",True
"com os gastos(pagos por nós)comprovados, do atual casal presidencial, em apenas 136 dias, é natural perceber o espanto, o interesse, da mídia e esquerdofrênicos com as contas do pr bolsonaro em 4 anos no governo. realmente espanta a diferença entre alhos e...bugalhos. gritante?? <url>",True
"@user porra q odio kkkkk sua cachorra ????????",True
"@user a contradição canhota em todas as áreas. até em atacar e defender ditadores seletivamente. nunca foi sobre ""o que"" , mas sobre ""quem"". egoísmo, inveja, ódio e maldade é tudo que tem em um ser contraditório desses.",True
"@user esse homem é doente",True
"@user nem 5 meses de separação fraudad@ pelo kbçade0vo/t$e, o pov0 já quer, volta governo bolsonaro .@user !! . ( grande dia, dólar, r$ 300, petrobras, ronaldo, whatsapp, michele, justin bieber, ceará )",True
"descobriram agora que o cabeça de ovo monitorava o presidente bolsonaro e família desde há muito tempo.... sabe o que vai acontecer com ele?? nada! porque ele aproveitou e monitorou também todos os senadores e deputados e ministros... e conhece os detalhes sórdidos de todos...",True
"@user @user são uns loucos, procuram de toda forma prejudicar a família bolsonaro. são diabólicos, invejosos e cruéis.",True
"eu creio que devemos desejar fazer o mesmo e muito pior com os esquerdalóides, reciprocidade absoluta, total e sem misericórdia mínima. <url>",True
"um novo flaxflu na história, primeira vez que o clássico acontece em uma copa do brasil, então temos que sair vencedores para ficar nas estatísticas, e também só jogar cal na situação dos mulambos vitória fluminense ???? #diadeflu #flaxflu #fluminense #fluminensefc #flu #ffc <url>",True
"ou você é bonita ou você dirige bem, não dá pra ter tudo na vida né!!",True
"lei de acesso à informação foi ""estuprada"" pelo governo bolsonaro, diz lula link presidente aproveitou o ensejo de comemoração dos 11 anos da lei de acesso à informação para criticar a prática de sigilo do governo anterior",True
"@user prefiro mamar no seu seios seios maravilhosos e depois você mame bastante meu pau antes de eu lhe comer, bem gostoso e com força ????",True
"@user @user falsidade sem igual. fala mau enquanto não consegue uma boquinha ou uma teta pra mamar",True
"@user aposta todo al negro amigo",True
"@user suicid4te pelotudo",True
"essa desgraçada milica nojenta tomara que queime no inferno vagabunda desgraçada",True
"@user bolsonaro foi eleito com 99%, e o stf do cabeça de piroca colocou o pt "" o pinguço de nove dedos "" isso sim foi golpe. esse moraes tem que ser preso urgente por abuso de poder e espionagem não autorizada e fora outros delitos",True
"@user bovídeo do lula é que nem bovídeo do bolsonaro: não pensa!",True
"@user @user 1- não confunda bolsonaro com eleitores de bolsonaro, se não vc vai poder mais contratar ngm que vota no pt pq o cara vai te roubar. 2- extrema direita continua sendo uma corrente legítima, assim como extrema esquerda. se não teremos que odiar tbm flávio dino que é comunista.",True
"@user ohh @user , triste desgraçado mental. és um nazista cheio de traumas, ódio raiva. nem mil psiquiatras te salvam. o povo está com bolsonaro. todo o mundo grita: luladrao teu lugar é na prisão. só cérebros de kaka de galinha não entendem isso. o povo está com bolsonaro",True
"quem foi a jaguara q tirou essa foro eu vou te caçar sua puta nojent ai q ódio",True
"@user joice, afinal quem te cobriu de porrada!!!!vc já sabe? mas da vida do bolsonaro vc sabe!!!!",True
"@user deixa de ser gay",True
"o twitter foi sequestrado pela extrema direita muito antes do bilionário vadio comprar a plataforma. esse é um ambiente controlado pelos consórcios mentirosos de desinformação e ódio. esses extremistas escrotos estão em desespero pois o stf trabalha para enquadra-los.",True
"@user ódio e vingança contra o povo brasileiro",True
"@user @user se eu soubesse que seria tão maravilhoso, teria apertado 13 também!!!!! melhor escola é a escola da dor, do ódio e da sensação de impotência. quem sabe o maldito pobre aprende que essa laia não ajuda ninguém além deles mesmo!!!!",True
"se mata sua velha fudidaaaaaaaaaaa que ódio que ódio",True
"@user @user ô otário, vc acha que eu vou perder meu tempo ""argumentando"" com ignorante negacionista? agora me diga uma coisa. qdo eu disse que ignorantes, negacionistas e bolsonaristas em geral não são bem vindos, que parte vc não conseguiu entender, hein, mané? ??",True
"@user ué cadê a greve dos caminhoneiros chubola do bozo.",True
"@user só pq eu falei que eu cheiraria cocaína no cu do travesti? não precisa mandar indireta n bb",True
"ai professora pode ser em ingles ?? nao sua vagabunda voce mora em pindamonhangaba zona norte de sp toma vergonha na cara porra",True
"@user @user @user ela é mongolóide até dms",True
"@user @user este nabo tratar-se bem depois querem quem os brancos nao vós chame de preto",True
"@user renuncia, melhor para o país! vci e o pt causam desconforto para democracia brasileira, vcs são vingativos, maus, péssimos, insanos, perversos...",True
"branco faz qualquer coisa e e ovacionado né? por isso que só quero consumir a maioria artistas pretos",True
"@user @user @user mas vc votou no bolsonaro pra tirar a extrema pobreza sendo que a ideologia dele é o oposto disso? é desde pequeno que vc entende tudo ao contrário? eles chamavam seus pais pra conversar na escola? como vc passava de ano?",True
"sério que tem gente ainda com saudades do incompetente do bolsonaro? presidente lula realmente fazendo o que um líder deve fazer. fiz o l foi com gosto e faria novamente.",True
"@user bolsonaro passou 4 anos tentando fazer isso e nunca conseguiu por não ter pulso e capacidade. agora o lula fez o que vcs defenderam por 4 anos e estão procurando motivos para criticar. nunca foi pelo brasil e sim por idolatria a um idiota frouxo.",True
"@user é verdade; por isso bolsonaro indicou dois ministros terrivelmente negros.",True
"@user bolsonaro roubou o brasil",True
"@user ele tem um congresso posto por bolsonaro o país não é mais desinformados e por isso quer extinguir com as redes sociais, @user não perdeu as eleições e sim foi tirado sem respeitar o voto popular. seria digno ex presidiário renunciar junto com alckmin.",True
"braveza tardia e inútil jogando para plateia: bolsonaro afirma que vai processar o petista lula <url>",True
"embora a petrobras anuncie o fim da paridade do petróleo no mercado internacional não acredito que a nova política de preços vá afetar significativamente o mercado brasileiro veremos. dólar r$300 petrobras grande dia r$8,97 faça o l imediatamente senac governo petro bolsonaro",True
"@user como se a imprensa fosse foda em mercado, um mais burro que o outro, espero que quando a petrobras quebrar vcs lembrem que foi o governo e a imprensa que apoiaram isso seus idiotas úteis, o bolsonaro avisou!??????????????",True
"@user pt criminosos ladrões vcs sao mentiroso bolsonaro até quando viajava economizar até na hospedagem ???? pt quadrilha de criminoso ladrões",True
"@user @user @user a ideilogia dele não é o oposto disso. você se baseia em editorial da globo pra dizer isso. os dados econômicos confirmam que a população mais pobre foi beneficiado com o programa de assistência do governo bolsonaro (auxílio emergencial e auxílio brasil).",True
"@user @user pra quem votou no bolsonaro, é o mesmo preço de antes",True
"@user @user @user olha quanta acusação merda! compara essas porcarias com os escândalos de corrupção do lula. veja que só tem essa perseguição contra o bolsonaro, o lula pode falar que pelotas exporta viado, agradecer a natureza pelo coronavírus, fazer acusações sem provas, etc, e nada acontece.",True
"@user queria ser cega nessas horas",True
